# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
                 SUVAWJ1134+0828,                 198,    +173.5592917,      +8.4814722,   5,    +19.758795,     +0.062889,          0
                  DELSJ1135+5011,                 434,    +173.7872080,     +50.1924999,   3,    +20.462698,     +0.137062,          0
                  SDSSJ1137+3549,                 199,    +174.3238678,     +35.8324586,   3,    +19.416601,     +0.059107,          0
                  SDSSJ1143+3808,                 202,    +175.9097797,     +38.1413398,   3,    +19.941140,     +0.113547,          0
               SHELLQsJ1146-0154,                 203,    +176.6360833,      -1.9106389,   3, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146-0154,                 203,    +176.6360833,      -1.9106389,   4,    +23.288774,     +2.412427,          0
               SHELLQsJ1146-0154,                 203,    +176.6360833,      -1.9106389,   5, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,                 204,    +176.7017500,      +1.4055833,   2,    +22.669601,     +0.870256,          0
               SHELLQsJ1146+0124,                 204,    +176.7017500,      +1.4055833,   3,    +22.698883,     +0.308192,          0
               SHELLQsJ1146+0124,                 204,    +176.7017500,      +1.4055833,   4,    +23.812078,     +1.717417,          0
               SHELLQsJ1146+0124,                 204,    +176.7017500,      +1.4055833,   5,    +22.511175,     +0.315058,          0
                  SDSSJ1146+4037,                 205,    +176.7408000,     +40.6190700,   3,    +19.362246,     +0.067117,          0
               SHELLQsJ1146-0005,                 206,    +176.7453750,      -0.0938056,   2, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146-0005,                 206,    +176.7453750,      -0.0938056,   3,    +21.877449,     +0.605911,          0
               SHELLQsJ1146-0005,                 206,    +176.7453750,      -0.0938056,   4, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146-0005,                 206,    +176.7453750,      -0.0938056,   5,    +21.554550,     +0.528092,          0
                 SUVAWJ1147-0109,                 207,    +176.7767083,      -1.1661667,   2,    +19.200775,     +0.023977,          0
                 SUVAWJ1147-0109,                 207,    +176.7767083,      -1.1661667,   3,    +18.930117,     +0.027899,          0
                 SUVAWJ1147-0109,                 207,    +176.7767083,      -1.1661667,   4,    +18.863672,     +0.037733,          0
                 SUVAWJ1147-0109,                 207,    +176.7767083,      -1.1661667,   5,    +19.005827,     +0.058119,          0
                  ULASJ1148+0702,                 208,    +177.0137037,      +7.0356349,   2,    +20.329700,     +0.029519,          0
                  ULASJ1148+0702,                 208,    +177.0137037,      +7.0356349,   3,    +20.216183,     +0.041178,          0
                  ULASJ1148+0702,                 208,    +177.0137037,      +7.0356349,   4,    +19.765768,     +0.091532,          0
